,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
162,OYO Rooms 088 East Patel Nagar,Near Metro Pillar No.161,Delhi,₹ 2449,₹ 1837,25% OFF,SOLD OUT 
163,OYO Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,Delhi,₹ 4199,₹ 3149,25% OFF,SOLD OUT 
164,OYO Rooms 014 New Friends Colony Crossroad,CV Raman Marg,Delhi,₹ 2249,₹ 1687,25% OFF,SOLD OUT 
165,OYO Rooms 560 Vasant Vihar 2,Rao Tula Ram Marg,Delhi,₹ 3099,₹ 2324,25% OFF,SOLD OUT 
166,OYO Homes 520 GK 1 M Block Market,Greater Kailash 1,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
167,OYO Elite 557 Panchsheel Enclave,Panchshila Park,Delhi,₹ 5649,₹ 4237,25% OFF,SOLD OUT 
168,OYO Rooms 253 New Friends Colony 2,New Friends colony,Delhi,₹ 3849,₹ 2887,25% OFF,SOLD OUT 
169,OYO Rooms 169 Near DPS Vasantkunj,Vasant Kunj,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
170,OYO Rooms 585 Near Sector 10 Metro Dwarka,"Sector 10 Dwarka, In front of metro station",Delhi,₹ 3599,₹ 2699,25% OFF,SOLD OUT 
171,OYO Homes 275 Saket J Block,Saket,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
172,OYO Premium 534 Dwarka Near Ramphal Chowk,Dwarka Palam Road,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
173,OYO Rooms 145 Paschim Vihar,Rohtak Road,Delhi,₹ 3049,₹ 2287,25% OFF,SOLD OUT 
174,OYO Rooms 249 Nehru Place Flyover,Greater Kailash 1,Delhi,₹ 3599,₹ 2699,25% OFF,SOLD OUT 
175,OYO Rooms 280 J Block Vikaspuri Delhi,Vikaspuri,Delhi,₹ 2199,₹ 1649,25% OFF,SOLD OUT 
176,OYO Homes 110 Jangpura Ext,Jangpura Extension,Delhi,₹ 3049,₹ 2287,25% OFF,SOLD OUT 
177,OYO Rooms 204 Rajendra Place Metro Station,East Patel Nagar,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
178,OYO Rooms 518 ZION Church Patel Nagar,East Patel nagar,Delhi,₹ 2149,₹ 1612,25% OFF,SOLD OUT 
179,OYO Rooms 263 PVR Vikas Puri,Vikas Puri,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
180,OYO Premium 232 Jasola Near DLF Tower,Jasola,Delhi,₹ 4949,₹ 3712,25% OFF,SOLD OUT 
181,OYO Apartments 273 Dwarka Sector 12,Dwarka,Delhi,₹ 2199,₹ 1649,25% OFF,SOLD OUT 
182,OYO Premium 187 Hari Nagar,Hari Nagar,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
183,OYO Rooms 057 Dwarka Sector 19,Dwarka,Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
184,OYO Homes 456 Rani Bagh,Rani Bagh,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
185,OYO Rooms 480 IGI Airport 4,"Road no 2, Mahipalpur",Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
186,OYO Premium 129 Dwarka Sector 7,Dwarka,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
187,OYO Homes 438 Janakpuri,Janak Puri,Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
188,OYO Premium 050 Jasola DAV,Jasola,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
189,OYO Rooms 203 llahi Bux Marg Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
190,OYO Rooms 351 Saraswati Marg Karol Bagh,Saraswati Marg,Delhi,₹ 1699,₹ 1274,25% OFF,SOLD OUT 
191,OYO Homes 501 Vasant Kunj Near Fortis,Shanti Kunj,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
192,OYO Premium 559 Connaught Place Travellers Delight,Connaught Circus,Delhi,₹ 5999,₹ 4499,25% OFF,SOLD OUT 
193,OYO Rooms 522 Karol Bagh 17A-13 Gurudwara Road,Karol Bagh,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
194,OYO Rooms 216 Ministry of Rural Development Delhi,East Patel Nagar,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
195,OYO Rooms 026 Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
196,OYO Rooms 271 Near Hanuman Statue Karol Bagh,Karol Bagh,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
197,OYO Premium 165 Rajouri Garden Metro Station,Rajouri Garden,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
198,OYO Rooms 313 Channa Market 14A/4 Karol Bagh,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
199,OYO Rooms 078 Ring Road GK1,Near Nehru Place,Delhi,₹ 4199,₹ 3149,25% OFF,SOLD OUT 
200,OYO Rooms 174 New Delhi Railway Station 2,Ram Nagar,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
201,OYO Premium 546 Green Park Metro,Near Green Park Metro,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
202,OYO Rooms 085 Hauz Khas District Park,Safdarjung Enclave,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
203,OYO Rooms 301 Vasant Kunj Near DPS,Opposite DPS School Gate No. 1,Delhi,₹ 2599,₹ 1949,25% OFF,SOLD OUT 
204,OYO Rooms 530 Krishna Gali Near NDLS Gate 1,"Near New Delhi Railway Station, Paharganj",Delhi,₹ 1299,₹ 974,25% OFF,SOLD OUT 
205,OYO Premium 137 Dwarka Sector 12,Dwarka,Delhi,₹ 3749,₹ 2812,25% OFF,SOLD OUT 
206,OYO Rooms 314 10174/1 Gurudwara Road Karol Bagh,Karol Bagh,Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
207,OYO Rooms 653 Near Kailash Colony Metro,Kailash Colony,Delhi,₹ 2749,₹ 2062,25% OFF,SOLD OUT 
208,OYO Rooms 108 Near Karol Bagh Metro Station 1,Karol Bagh,Delhi,₹ 1199,₹ 899,25% OFF,SOLD OUT 
209,OYO Rooms 580 Karol Bagh 17A/59,"WEA, Karol Bag, Near RBL Bank",Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
210,OYO Premium 239 Near Rajendra Nagar Metro Station,New Rajinder Nagar,Delhi,₹ 3349,₹ 2512,25% OFF,SOLD OUT 
211,OYO Rooms 574 Near Kirti Nagar,Near Kirti Nagar Police Station,Delhi,₹ 1949,₹ 1462,25% OFF,SOLD OUT 
212,OYO Rooms 342 Near RK Ashram Metro Station 4,"Main Bazaar, Main Bazar Road, Paharganj",Delhi,₹ 1099,₹ 824,25% OFF,SOLD OUT 
213,OYO Premium 141 Anand Vihar 2,Near Karkardooma Metro Station,Delhi,₹ 3549,₹ 2662,25% OFF,SOLD OUT 
214,OYO Rooms 209 Karol Bagh 13A/22,Karol Bagh,Delhi,₹ 2249,₹ 1687,25% OFF,SOLD OUT 
215,OYO Rooms 455 Near Karol Bagh Metro Station 2,Karol Bagh,Delhi,₹ 1699,₹ 1274,25% OFF,SOLD OUT 
216,OYO Rooms 147 Karol Bagh 14A/7,Karol Bagh,Delhi,₹ 2399,₹ 1799,25% OFF,SOLD OUT 
217,OYO Premium 582 Pitampura,"Near Kohat Enclave Metro Station, Opposite Metro Pillar No. 332",Delhi,₹ 5099,₹ 3824,25% OFF,SOLD OUT 
218,OYO Rooms 343 Main Bazar Paharganj 4350,"Kaseru Walan, Paharganj",Delhi,₹ 1249,₹ 937,25% OFF,SOLD OUT 
219,OYO Homes 328 Chhatarpur,"Maidan Garhi Road,Chattarpur",Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
220,OYO Rooms 226 Near Jhandewalan Metro 1,Karol Bagh,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
221,OYO Rooms 265 Balaji Mandir Karol Bagh,Karol Bagh,Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
222,OYO Rooms 255 Karol Bagh Saraswati Marg,Karol Bagh,Delhi,₹ 1249,₹ 937,25% OFF,SOLD OUT 
223,OYO Rooms 274 Dwarka Sector 7,"Ramphal Chowk, Dwarka",Delhi,₹ 1949,₹ 1462,25% OFF,SOLD OUT 
224,OYO Rooms 445 Saket Metro,Saiyad ul Ajaib,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
225,OYO Premium 140 Connaught Place,Barakhamba,Delhi,₹ 6149,₹ 4612,25% OFF,SOLD OUT 
226,OYO Rooms 332 New Delhi Railway Station Paharganj,"Kaseru Walan, Paharganj",Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
227,OYO Homes 508 G Block Saket,Saket,Delhi,₹ 1449,₹ 1087,25% OFF,SOLD OUT 
228,OYO Premium 334 Naraina,Naraina Vihar,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
229,OYO Premium 234 Paschim Vihar,Paschim Vihar,Delhi,₹ 3549,₹ 2662,25% OFF,SOLD OUT 
230,OYO Homes 318 Kalkaji E Block,Kalkaji,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
231,OYO Premium 564 Nehru Place Ring Road,Nehru Place,Delhi,₹ 4399,₹ 3299,25% OFF,SOLD OUT 
232,OYO Rooms 228 Near RK Ashram Metro Station 2,Paharganj,Delhi,₹ 1499,₹ 1124,25% OFF,SOLD OUT 
233,OYO Apartments 202 Saket Extension,"Near Malkhan Singh Marg, Street no.16",Delhi,₹ 1199,₹ 899,25% OFF,SOLD OUT 
234,OYO Rooms 093 Kalkaji Mandir Delhi,Kalkaji,Delhi,₹ 1899,₹ 1424,25% OFF,SOLD OUT 
235,OYO Premium 008 IGI Airport Link Road,"Mahipalpur, NH -8, Near IGI Airport, Delhi Gurgaon Expy, Block RZ, Mahipalpur Village",Delhi,₹ 3699,₹ 2774,25% OFF,SOLD OUT 
236,OYO Rooms 629 New Rohtak Road Karol Bagh,"Rohtak Road, Karol Bagh",Delhi,₹ 1449,₹ 1087,25% OFF,SOLD OUT 
237,OYO Rooms 319 IGI Airport Near Fun N Food Village,"Kapashera Road, Bijwasan",Delhi,₹ 2199,₹ 1649,25% OFF,SOLD OUT 
238,OYO Rooms 119 New Delhi Railway Station,Paharganj,Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
239,OYO Premium 189 GK 1 R Block,Greater Kailash Part - 1,Delhi,₹ 3949,₹ 2962,25% OFF,SOLD OUT 
240,OYO Rooms 094 Karol Bagh 53/1,Karol Bagh,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
241,OYO Rooms 097 Gaffar Market Karol Bagh,"Karol Bagh, New Delhi",Delhi,₹ 1449,₹ 1087,25% OFF,SOLD OUT 
242,OYO Premium 386 Rajguru Road Paharganj,CHUNA MANDI,Delhi,₹ 2349,₹ 1762,25% OFF,SOLD OUT 
243,OYO Rooms 492 Ramphal Chowk Dwarka,Sector-7,Delhi,₹ 1899,₹ 1424,25% OFF,SOLD OUT 
244,OYO Rooms 130 Nizamuddin Railway Station 2,Hazrat Nizamuddin West,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
245,OYO Rooms 641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi,₹ 1849,₹ 1387,25% OFF,SOLD OUT 
246,OYO Rooms 298 38 Arakashan Road Pahar Ganj,Arakshan Road,Delhi,₹ 749,₹ 562,25% OFF,SOLD OUT 
247,OYO Rooms 604 DB Gupta Main Road 1,"DB Gupta Road, Pahar Ganj Bridge",Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
248,OYO Rooms 176 Defence Colony A Block,Defence colony,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
249,OYO Rooms 502 Ramphal Chowk Sector 7,"Ramphal Chowk, Sector 7 Dwarka",Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
250,OYO Rooms 663 Elahi Bux Road Karol Bagh,Karol Bagh,Delhi,₹ 1299,₹ 974,25% OFF,SOLD OUT 
251,OYO Rooms 444 Near Karol Bagh Metro Station 5,Karol Bagh,Delhi,₹ 1549,₹ 1162,25% OFF,SOLD OUT 
252,OYO Rooms 605 Near Shiela Cinema Paharganj,"1B, Arakashan Road",Delhi,₹ 1499,₹ 1124,25% OFF,SOLD OUT 
253,OYO Rooms 379 New Delhi Station Gate 1,"Opposite New Delhi Railway Station, Paharganj",Delhi,₹ 1099,₹ 824,25% OFF,SOLD OUT 
254,OYO Rooms 217 Lajpat Nagar Market,Lajpat Nagar,Delhi,₹ 3449,₹ 2587,25% OFF,SOLD OUT 
255,OYO Rooms 323 Mahipalpur,"Road No.-6, Mahipalpur, Road No 6",Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
256,OYO Homes 291 Dwarka Sector 19,Dwarka,Delhi,₹ 1999,₹ 1499,25% OFF,SOLD OUT 
257,OYO Premium 531 Green Park 2,Green Park,Delhi,₹ 3799,₹ 2849,25% OFF,SOLD OUT 
258,OYO Rooms 461 Kalkaji F Block,Kalkji Main Road,Delhi,₹ 2799,₹ 2099,25% OFF,SOLD OUT 
259,OYO Rooms 163 Rohini Near M2K,Main Road Naharpur Village,Delhi,₹ 2649,₹ 1987,25% OFF,SOLD OUT 
260,OYO Homes 558 Chattarpur Near Tivoli,"Next To Primary School, Satbari Chattarpur",Delhi,₹ 2149,₹ 1612,25% OFF,SOLD OUT 
261,OYO Premium 261 Karol Bagh Metro Station 3,Karol Bagh,Delhi,₹ 2749,₹ 2062,25% OFF,SOLD OUT 
262,OYO Homes 367 Greater Kailash M Block Market 2,New Delhi,Delhi,₹ 2649,₹ 1987,25% OFF,SOLD OUT 
263,OYO Premium 029 Siri Fort Road,Sadiq Nagar,Delhi,₹ 4099,₹ 3074,25% OFF,SOLD OUT 
264,OYO Rooms 152 Karol Bagh Bikanerwala,"Gurudwara Road, Karol Bagh",Delhi,₹ 1849,₹ 1387,25% OFF,SOLD OUT 
265,OYO Rooms 312 Near New Delhi Railway Station,Opp. Shiela Cinema,Delhi,₹ 1099,₹ 824,25% OFF,SOLD OUT 
266,OYO Homes 460 GK 2 Main Road,Greater Kailash II,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
267,OYO Rooms 138 Vasant Kunj 1,Masoodpur Vasant Kunj,Delhi,₹ 2399,₹ 1799,25% OFF,SOLD OUT 
268,OYO Rooms 433 Jangpura,"Masjid Road, Jangpura Bhogal",Delhi,₹ 1749,₹ 1312,25% OFF,SOLD OUT 
269,OYO Premium 086 Karol Bagh Metro,Karol Bagh,Delhi,₹ 1849,₹ 1387,25% OFF,SOLD OUT 
270,OYO Rooms 674 Karol Bagh Saraswati Marg 2,"Karol Bagh, New Delhi",Delhi,₹ 1499,₹ 1124,25% OFF,SOLD OUT 
271,OYO Rooms 348 Near Mahipalpur Bypass,"Road No 6, Mahipalpur, Mahipalpur, International Airport Zone",Delhi,₹ 1949,₹ 1462,25% OFF,SOLD OUT 
272,OYO Rooms 358 Near Jasola Sports Complex,Jasola,Delhi,₹ 1649,₹ 1237,25% OFF,SOLD OUT 
273,OYO Rooms 611 Main Bazaar 1575 Paharganj,"Main Bazar, Paharganj",Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
274,OYO Rooms 337 Arya Nagar Paharganj,D.B. Gupta Road,Delhi,₹ 1549,₹ 1162,25% OFF,SOLD OUT 
275,OYO Rooms 075 Fortis Vasant Kunj,Vasant Kunj,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
276,OYO Premium 240 Paharganj Near NDLS,Pahar Ganj,Delhi,₹ 2449,₹ 1837,25% OFF,SOLD OUT 
277,OYO Rooms 045 Connaught Place G Block,Connaught Place,Delhi,₹ 4449,₹ 3337,25% OFF,SOLD OUT 
278,OYO Rooms 090 CR Park Outer Ring Road,CR Park,Delhi,₹ 1899,₹ 1424,25% OFF,SOLD OUT 
279,OYO Homes 310 Shivalik Road Malviya Nagar,Near Aurobindo College,Delhi,₹ 2349,₹ 1762,25% OFF,SOLD OUT 
280,OYO Rooms 104 Paharganj Railway Station,Pahar Ganj,Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
281,OYO Rooms 677 Kamla Nagar,Kamla Nagar,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
282,OYO Rooms 306 Karol Bagh 7A/39,Channa Market,Delhi,₹ 1899,₹ 1424,25% OFF,SOLD OUT 
283,OYO Rooms 493 Krishna Gali Near NDLS,"Krishna Gali, Ghee Mandi, Near New Delhi Railway Station Paharganj",Delhi,₹ 1299,₹ 974,25% OFF,SOLD OUT 
284,OYO Rooms 125 Pitampura I,Pitampura,Delhi,₹ 3199,₹ 2399,25% OFF,SOLD OUT 
285,OYO Premium 083 Karol Bagh Metro Station,Karol Bagh,Delhi,₹ 1999,₹ 1499,25% OFF,SOLD OUT 
286,OYO Rooms 316 Kalkaji M Block,"M Block, Kalkaji",Delhi,₹ 2599,₹ 1949,25% OFF,SOLD OUT 
287,OYO Homes 325 AIIMS,Arjun Nagar,Delhi,₹ 1999,₹ 1499,25% OFF,SOLD OUT 
288,OYO Rooms 040 AIIMS,Opposite AIIMS Trauma Centre,Delhi,₹ 2799,₹ 2099,25% OFF,SOLD OUT 
289,OYO Premium 473 International Airport Main Road,"NH8, Mahipalpur",Delhi,₹ 3299,₹ 2474,25% OFF,SOLD OUT 
290,OYO Rooms 368 Block 11A Channa Market Karol Bagh,"W.E.A, Channa Market, Karol Bagh",Delhi,₹ 1549,₹ 1162,25% OFF,SOLD OUT 
291,OYO Premium 603 Red Fort,"Opposite Happy School, Daryaganj",Delhi,₹ 2399,₹ 1799,25% OFF,SOLD OUT 
292,OYO Rooms 340 Hazrat Nizamuddin Railway Station,Jangpura B,Delhi,₹ 1699,₹ 1274,25% OFF,SOLD OUT 
293,OYO Homes 441 Janakpuri West Metro Station,Opposite Savitri Market,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
294,OYO Premium 068 Karol Bagh,Near By Karol Bagh Police Station / HDFC bank,Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
295,OYO Rooms 406 Railway Station Paharganj 4,Arakashan Road,Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
296,OYO Homes 101 GK N Block Market,"Greater Kailash-1, New Delhi",Delhi,₹ 2449,₹ 1837,25% OFF,SOLD OUT 
297,OYO Rooms 293 Jhandewalan Metro Station 3,Karol Bagh,Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
298,OYO Premium 019 Dwarka Near Airport,"Aditya Enclave, Dwarka",Delhi,₹ 2049,₹ 1537,25% OFF,SOLD OUT 
299,OYO Rooms 542 Bhogal Jangpura,"Church Road, Jungpura, Bhogal",Delhi,₹ 1299,₹ 974,25% OFF,SOLD OUT 
300,OYO Rooms 552 GK2 M Block Market Extension,Greater Kailash-2,Delhi,₹ 1999,₹ 1499,25% OFF,SOLD OUT 
301,OYO Rooms 381 Kailash Colony Metro 2,East of Kailash,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
302,OYO Rooms 264 Rajouri Garden Metro Station 2,Rajouri Garden,Delhi,₹ 2799,₹ 2099,25% OFF,SOLD OUT 
303,OYO Premium 458 GT Karnal Road,Alipur,Delhi,₹ 3599,₹ 2699,25% OFF,SOLD OUT 
304,OYO Rooms 597 Hari Mandir Gali Paharganj,Gali Hari Mandir,Delhi,₹ 1199,₹ 899,25% OFF,SOLD OUT 
305,OYO Rooms 385 Karol Bagh 12A/24,"Saraswati Marg, West Extension Area, Karol Bagh",Delhi,₹ 1799,₹ 1349,25% OFF,SOLD OUT 
306,OYO Homes 369 South Extension 1,South Extension 1,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
307,OYO Premium 581 Karol Bag Pusa Road,"Gurudwara Road, Opposite Jessa Ram Hospital",Delhi,₹ 4149,₹ 3112,25% OFF,SOLD OUT 
308,OYO Rooms 548 New Delhi Junction,"Arakashan Road, Paharganj",Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
309,OYO Rooms 288 Dwarka Sector 12 City Centre,Dwarka,Delhi,₹ 2349,₹ 1762,25% OFF,SOLD OUT 
310,OYO Premium 155 Safdarjung,Green Park Main,Delhi,₹ 3699,₹ 2774,25% OFF,SOLD OUT 
311,OYO Rooms 572 DB Gupta Road Karol Bagh 2,"D.B. Gupta Road, Karol Bagh",Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
312,OYO Rooms 562 Pitampura Madhuban Chowk,Pitampura,Delhi,₹ 2499,₹ 1874,25% OFF,SOLD OUT 
313,OYO Rooms 258 Karol Bagh Metro Station 4,Karol Bagh,Delhi,₹ 1399,₹ 1049,25% OFF,SOLD OUT 
314,OYO Premium 687 Naraina Industrial Area,Naraina Vihar,Delhi,₹ 3199,₹ 2399,25% OFF,SOLD OUT 
315,OYO Rooms 168 Green Park,Hauz Khas,Delhi,₹ 3549,₹ 2662,25% OFF,SOLD OUT 
316,OYO Rooms 179 Kashmere Gate,Kashmere Gate,Delhi,₹ 1949,₹ 1462,25% OFF,SOLD OUT 
317,OYO Premium 172 Laxmi Nagar,Laxmi Nagar,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
318,OYO Rooms 523 Karol Bagh WEA Saraswati Marg 4/39,"Saraswati Marg, Karol Bagh",Delhi,₹ 1049,₹ 787,25% OFF,SOLD OUT 
319,OYO Rooms 259 Rajguru Road Paharganj,Paharganj,Delhi,₹ 1499,₹ 1124,25% OFF,SOLD OUT 
320,OYO Premium 594 Malviya Nagar A Block,Shivalik Road,Delhi,₹ 3549,₹ 2662,25% OFF,SOLD OUT 
321,OYO Homes 446 Kailash Colony Main Market,Kailash Colony,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
322,OYO Rooms 096 Vasant Kunj 2,New Delhi,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
323,OYO Premium 335 Model Town Delhi,Bhama Shah Marg,Delhi,,₹ 3549,,SOLD OUT 
324,OYO Rooms 490 Jantar Mantar Delhi,Jai Singh Road,Delhi,₹ 2999,₹ 2249,25% OFF,SOLD OUT 
325,OYO Rooms 188 Safdarjung Enclave,Safdarjung Enclave,Delhi,₹ 3649,₹ 2737,25% OFF,SOLD OUT 
326,OYO Premium 346 Connaught Place 2,Connaught Place,Delhi,₹ 2599,₹ 1949,25% OFF,SOLD OUT 
327,OYO Rooms 167 Safdarjung Extension,Safdarjung,Delhi,₹ 1599,₹ 1199,25% OFF,SOLD OUT 
328,OYO Rooms 222 Karol Bagh Metro Station 3,Karol Bagh,Delhi,₹ 1949,₹ 1462,25% OFF,SOLD OUT 
329,OYO Rooms 398 South Extension 2,South Extension-ll,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
330,OYO Rooms 516 Shakti Vihar Pitampura,Pitampura,Delhi,₹ 2249,₹ 1687,25% OFF,SOLD OUT 
